,Name of Institution,Default Rate: 2 yr
1,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,14.3
2,FAULKNER UNIVERSITY,16.4
3,UNIVERSITY OF MONTEVALLO,14.3
4,ALABAMA STATE UNIVERSITY,21.0
5,CENTRAL ALABAMA COMMUNITY COLLEGE,30.6
6,ATHENS STATE UNIVERSITY,6.4
7,AUBURN UNIVERSITY,6.8
8,BIRMINGHAM SOUTHERN COLLEGE,7.2
9,CALHOUN COMMUNITY COLLEGE,18.9
10,ENTERPRISE STATE COMMUNITY COLLEGE,18.6
11,UNIVERSITY OF NORTH ALABAMA,14.0
12,GADSDEN STATE COMMUNITY COLLEGE,0.0
13,GEORGE C. WALLACE COMMUNITY COLLEGE,0.0
14,HUNTINGDON COLLEGE,11.0
15,JACKSONVILLE STATE UNIVERSITY,13.4
16,JEFFERSON DAVIS COMMUNITY COLLEGE,0.0
17,JEFFERSON STATE COMMUNITY COLLEGE,11.1
18,JUDSON COLLEGE,5.4
19,UNIVERSITY OF WEST ALABAMA,11.7
20,MARION MILITARY INSTITUTE,25.0
21,MILES COLLEGE,21.7
22,UNIVERSITY OF MOBILE,7.0
23,BISHOP STATE COMMUNITY COLLEGE,0.0
24,NORTHEAST ALABAMA COMMUNITY COLLEGE,25.0
25,OAKWOOD UNIVERSITY,19.7
26,ALABAMA SOUTHERN COMMUNITY COLLEGE,0.0
27,SAMFORD UNIVERSITY,1.1
28,SNEAD STATE COMMUNITY COLLEGE,0.0
29,SOUTHERN UNION STATE COMMUNITY COLLEGE,20.0
30,SPRING HILL COLLEGE,7.1
31,STILLMAN COLLEGE,11.2
32,TALLADEGA COLLEGE,27.6
33,TROY UNIVERSITY,15.1
34,TUSKEGEE UNIVERSITY,13.1
35,UNIVERSITY OF ALABAMA,5.6
36,UNIVERSITY OF ALABAMA AT BIRMINGHAM,5.9
37,UNIVERSITY OF ALABAMA IN HUNTSVILLE,6.7
38,UNIVERSITY OF SOUTH ALABAMA,8.0
39,LAWSON STATE COMMUNITY COLLEGE,0.0
40,JAMES H. FAULKNER STATE COMMUNITY COLLEGE,20.0
41,ALASKA PACIFIC UNIVERSITY,6.4
42,UNIVERSITY OF ALASKA FAIRBANKS,11.6
43,UNIVERSITY OF ALASKA SOUTHEAST,11.3
44,THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT,2.2
45,ARIZONA WESTERN COLLEGE,28.1
46,COCHISE COLLEGE,24.2
47,EASTERN ARIZONA COLLEGE,0.0
48,GRAND CANYON UNIVERSITY,15.1
49,GLENDALE COMMUNITY COLLEGE,19.6
50,MESA COMMUNITY COLLEGE,20.5
